date,net_impact,weighted_horizon,news_count,divergence
2023-01-18,1.0271015625,0.42816901408450714,9.0,0.6534098594637553
2023-01-19,0.42275,0.48148148148148145,8.0,0.7890998488331952
2023-01-20,-0.8930000000000001,0.5846153846153846,4.0,0.697614984548545
2023-01-21,-0.28800000000000003,0.4000000000000001,2.0,1.1313708498984762
2023-01-23,0.48,0.4,1.0,0.0
2023-01-24,0.9200000000000002,0.4000000000000001,2.0,0.21213203435596428
2023-01-25,0.74,0.4,3.0,0.05773502691896256
2023-01-26,0.4,0.4000000000000001,1.0,0.0
2023-01-27,-0.096,0.4,1.0,0.0
2023-01-28,0.5640000000000002,0.6133333333333334,4.0,0.8460693430998036
2023-01-29,1.2462656250000002,0.5489051094890511,9.0,0.6264982043070835
2023-01-30,1.4727904951262973,0.5778452200303492,41.0,0.6631594738860919
2023-01-31,0.017258790108375246,0.562406015037594,33.0,0.7986712449911776
2023-02-01,1.8246196255385876,0.5123966942148761,30.0,0.6412989691369323
2023-02-02,1.512984375,0.5522123893805311,14.0,0.6125070082577302
2023-02-03,1.4880595306158066,0.5584158415841585,26.0,0.6407327536020471
2023-02-04,13516.449999999999,3.772,4.0,1.707825127659933
2023-02-05,403.2000000000003,0.0,5.0,1.5811388300841898
2023-02-06,22168.660874938967,0.0,19.0,5.627314338711377
2023-02-07,23457.629243164065,0.0,16.0,4.760952285695233
2023-02-08,29773.5248916626,0.5166666666666668,19.0,5.627314338711377
2023-02-09,3970.630859375,0.0,17.0,5.049752469181039
2023-02-10,26380.88187822938,2.718681318681319,25.0,7.359800721939872
2023-02-11,-3811.2799999999997,1.375,2.0,0.7071067811865476
2023-02-12,18130.585234374998,4.59375,10.0,3.0276503540974917
2023-02-13,3832.4884759521483,4.525925925925926,19.0,5.627314338711377
2023-02-14,5008.362441442907,3.0063063063063056,30.0,8.803408430829505
2023-02-15,4782.294532004921,0.0,39.0,11.40175425099138
2023-02-16,14910.4091381073,1.8629310344827583,21.0,6.2048368229954285
